id,title,description,skills,interests,experience_level,salary_range,growth_potential,work_environment
1,Software Engineer,"Develop software applications and systems using programming languages and development tools","Python,JavaScript,Java,SQL,Git,Agile","Technology,Problem Solving,Programming,Innovation","entry","$60,000 - $120,000","High","Office/Remote"
2,Data Scientist,"Analyze complex data sets to help organizations make better decisions","Python,R,SQL,Statistics,Machine Learning,Data Visualization","Analytics,Mathematics,Research,Technology","mid","$80,000 - $150,000","Very High","Office/Remote"
3,Product Manager,"Lead product development from conception to launch","Project Management,User Research,Data Analysis,Communication,Leadership","Business,Strategy,User Experience,Innovation","mid","$90,000 - $160,000","High","Office"
4,UX/UI Designer,"Design user interfaces and experiences for digital products","Figma,Adobe Creative Suite,User Research,Prototyping,Design Systems","Design,User Experience,Creativity,Technology","entry","$50,000 - $100,000","High","Office/Remote"
5,DevOps Engineer,"Manage and optimize software development and deployment processes","Docker,Kubernetes,AWS,Linux,CI/CD,Monitoring","Technology,Automation,Infrastructure,Problem Solving","mid","$80,000 - $140,000","High","Office/Remote"
6,Marketing Manager,"Develop and execute marketing strategies to promote products or services","Digital Marketing,Analytics,Content Creation,Social Media,Strategy","Marketing,Creativity,Communication,Business","mid","$60,000 - $120,000","Medium","Office/Remote"
7,Financial Analyst,"Analyze financial data and provide insights for business decisions","Excel,Financial Modeling,Accounting,Data Analysis,SQL","Finance,Analytics,Mathematics,Business","entry","$50,000 - $90,000","Medium","Office"
8,Cybersecurity Specialist,"Protect computer systems and networks from security threats","Network Security,Penetration Testing,Incident Response,Compliance","Security,Technology,Problem Solving,Analytics","mid","$70,000 - $130,000","Very High","Office/Remote"
9,Content Creator,"Create engaging content for various platforms and audiences","Content Writing,Social Media,Video Editing,Photography,SEO","Creativity,Communication,Media,Storytelling","entry","$30,000 - $80,000","Medium","Remote/Freelance"
10,Healthcare Administrator,"Manage healthcare facilities and coordinate patient care","Healthcare Management,Regulatory Compliance,Leadership,Communication","Healthcare,Management,Public Service,Organization","mid","$60,000 - $100,000","Medium","Office"
11,Machine Learning Engineer,"Build and deploy machine learning models and systems","Python,TensorFlow,PyTorch,MLOps,Statistics,Cloud Computing","Technology,Mathematics,Research,Innovation","mid","$100,000 - $180,000","Very High","Office/Remote"
12,Sales Representative,"Sell products or services to customers and build relationships","Sales Techniques,CRM Software,Communication,Negotiation,Relationship Building","Sales,Communication,Business,People","entry","$40,000 - $100,000","Medium","Office/Field"
13,Graphic Designer,"Create visual content for print and digital media","Adobe Creative Suite,Illustration,Typography,Branding,Print Design","Design,Creativity,Art,Visual Communication","entry","$35,000 - $70,000","Medium","Office/Freelance"
14,Human Resources Manager,"Manage employee relations, recruitment, and organizational development","HR Management,Recruitment,Employee Relations,Compliance,Communication","People,Management,Psychology,Business","mid","$60,000 - $110,000","Medium","Office"
15,Environmental Scientist,"Study environmental issues and develop solutions","Environmental Science,Data Analysis,Research Methods,Regulatory Knowledge","Science,Environment,Research,Public Service","entry","$45,000 - $80,000","High","Office/Field"
16,Architect,"Design buildings and structures for various purposes","AutoCAD,Revit,Architectural Design,Building Codes,Project Management","Design,Architecture,Creativity,Engineering","mid","$60,000 - $120,000","Medium","Office"
17,Teacher,"Educate students in various subjects and grade levels","Teaching Methods,Curriculum Development,Classroom Management,Communication","Education,Teaching,Communication,Public Service","entry","$35,000 - $70,000","Medium","School"
18,Chef,"Prepare and cook food in restaurants and other food service establishments","Culinary Arts,Food Safety,Kitchen Management,Menu Planning","Cooking,Creativity,Food,Service","entry","$30,000 - $80,000","Medium","Kitchen"
19,Journalist,"Research, write, and report news stories for various media outlets","Writing,Research,Interviewing,Digital Media,Fact-Checking","Writing,Media,Communication,Current Events","entry","$30,000 - $70,000","Medium","Office/Field"
20,Lawyer,"Provide legal advice and represent clients in legal matters","Legal Research,Writing,Analytical Thinking,Client Relations","Law,Justice,Analytics,Communication","mid","$60,000 - $200,000","Medium","Office"
21,Mechanical Engineer,"Design and build mechanical devices and systems","CAD Software,Engineering Principles,Project Management,Problem Solving","Engineering,Technology,Design,Problem Solving","entry","$60,000 - $100,000","Medium","Office/Field"
22,Nurse,"Provide patient care and support in healthcare settings","Patient Care,Medical Procedures,Communication,Teamwork","Healthcare,Patient Care,Science,Service","entry","$50,000 - $90,000","High","Hospital/Clinic"
23,Digital Marketing Specialist,"Execute digital marketing campaigns across various platforms","SEO,SEM,Social Media Marketing,Email Marketing,Analytics","Marketing,Technology,Analytics,Creativity","entry","$40,000 - $80,000","High","Office/Remote"
24,Supply Chain Manager,"Manage the flow of goods and services from supplier to customer","Supply Chain Management,Logistics,Analytics,Project Management","Business,Logistics,Analytics,Management","mid","$70,000 - $120,000","Medium","Office"
25,Research Scientist,"Conduct research to advance knowledge in various fields","Research Methods,Data Analysis,Scientific Writing,Lab Techniques","Science,Research,Analytics,Innovation","mid","$60,000 - $120,000","High","Laboratory/Office" 
